,customer_name,country,status,CompanyType,address,url,email,phone,source,contacted_y_n,contact_date,contact_results,notes
119,Bi-Mek,Macedonia the Former Yugoslav Republic of,Potential Customer,Distributor,,http://www.bimek.com.mk,info@bimek.com.mk,Elizabeta Zrlevska 389 76 211 122 sales@bimek.com.mk,Internet,y,,30.10.2018 - talked to Elizabeta Zrlevska. She says that Macedonia requires a) 400 EUR registration for manufacturer. b) 40 EUR per each REF. She is collecting offers from different manufacturers. I told her we can lower our prices if she shares Contract Awards. I asked her to share the website where she finds tenders in Macedonia. Sent her updated catalog. Video Links. tenders table (Aaron). This year they are not attending Medica,
120,Komed,Macedonia the Former Yugoslav Republic of,Potential Customer,Distributor,,,,389-23090704,Contract Award,n,,,
121,Sparta Medical,Macedonia the Former Yugoslav Republic of,Potential Customer,Distributor,,,sparta1@t-home.mk,389 2 317 6678,Contract Award,n,,,Won tender for CC in Macedonia (700 pcs. @ $1.33/ea)
122,Adriamed (lab productrs),Macedonia the Former Yugoslav Republic of,Potential Customer,,,http://www.adriamed.mk,adriamed@adriamed.com.mk,Sandra Ilievska  sandra.ilevska@adriamed.com.mk  +389 2 322 96 11,,y,,30.10.2018 - spoke to Sandra Ilievska. She is responsible for tenders. Said she would forward my email to her manager (all sales people were out of the office at the moment of speaking). Sent her updated catalog. Video links. tenders table. She doesn't know if her manager is going to Medica. Will let me know.,
123,Domino,Macedonia the Former Yugoslav Republic of,Other,Distributor,,http://www.domino.com.mk,info@domino.com.mk,70 25 00 87,,y,,30.10.2018 - spoke to Mr. Toshko. He said they only sell medical equipment. consumables are not their field and they never worked in it.,
124,Pharma-Cos,Malta,Potential Customer,Distributor,,https://www.pharma-cos.com,info@pharma-cos.com,(+356) 21 441977,Contract Award,y,14/2/2019,Cold called and sent an e-mail.,
125,Sterisets International BV,Netherlands,Potential Customer,Distributor/Manufacturer,,,info@sterisets.eu,31 412 667 755,Internet,y,,27/12/18 Sent cold email with prezi. catalogue and leaflets.,
126,Vision Medical Company,Netherlands,Potential Customer,Distributor,Vluchtoord 3a 5406 XP Uden Netherlands,http://www.visionmc.nl/producten.html,info@visionmc.nl,,Fair,n,,,Specifically they are interested in Drapes they said that if we can find and send them tender info for their country they would be interested. They inquired if we have a distributor in the Netherlands which we do not but we did get other contacts at the fair. They were happy to hear this and will provide us with estimated quantities for products.
127,Medica Europe,Netherlands,Potential Customer,Distributor,Galliërsweg 20 5349 AT Oss Netherlands,,b.kreekels@medica-europe.nl,31 412 671 410,Fair,y,13/2/19,Asked for CE registration on all products.,Two guys said they asked about our Brushes and were surprised of the 7.5%. They are actually a competitor for Brushes but their prices are high probably because they are actually Gamma sterilizing the Impregnated ones. Dilara offered our Drapes to them. They asked about how many people work in our company and she told them 200. I met with their colleague Suzanne the last year at Medica and then sent an email which she responded to saying she would check and revert back but never heard from her. I went to their stand this year after I saw that they had come but they were not at the stand so I left my info and catalog. Actually I would like to work with them for bulk non-sterile products as they are a Procedure Pack company.
128,Jackson Allison,New Zealand,Potential Customer,Distributor,4909674 Mount Wellington Auckland 1072 New Zealand,,,,Fair,n,,,She mentioned that we were a Turkish company and he said maybe that is not what he was looking for.
129,BIRK NORDIC PHARMA CONSULTING AS,Norway,Potential Customer,Wholesaler Local,,https://www.birk-npc.com,,21520057,,n,,,
130,Quirumedi SA,Panama,Potential Customer,Distributor,,,ggupta@quirumedi.com arg.negocios@aol.com,5266296368677,Fair,n,,,Cengiz found in Medica 2018. Interested in arterial cannula. They sell in Costa Rica. They need FDA. Interested in price list will send an email. 
131,Prosemedic,Peru,Potential Customer,,,www.prosemedic.com,jackeline.quevedo@prosemedic.com,51996134218,Fair,n,,,Cengiz found in Medica 2018. Endo clean sponge. Vomit bag. Brushes.
132,Arnomed,Poland,Potential Customer,Distributor,,,piotr@arnomed.pl,,,n,,,
133,Bialmed,Poland,Potential Customer,Distributor,,,dzp@bialmed.pl,,,n,,,
134,Cezal,Poland,Current Customer - Medbar,Distributor,,,,,,n,,,
135,Citonet,Poland,Potential Customer,Distributor,,,agnieszka.lakowska@tzmo.com.pl,,,n,,,
136,Impomed,Poland,Current Customer - Medbar,Distributor,,,marta.calinska@impomed.pl,,Fair,n,,,
137,Meditech,Poland,Potential Customer,Distributor,,,,,Fair,n,,,
138,Molnycke,Poland,Potential Customer,Distributor,,,info.pl@molnlycke.com,,Internet,n,,,
139,Qualitypack,Poland,Potential Customer,Distributor,,,biuro@quality-pack.pl,,Internet,n,,,Cengiz contacted them before  later Emilia took over the role of keeping corespondence with the customer. They insist they need us to have representative in Europe in order to be able to work with us we presented them official document from govermnet saying we dont need to have one but they claim their managment requiry this so its imposible for us to work with them at the moment
140,Skamex,Poland,Potential Customer,Distributor,,,info@skamex.com.pl,,Internet,n,,,
141,Winkler,Poland,Potential Customer,Distributor,,,asw@winkler.com.pl,,Internet,n,,,
142,Mercator Medical SA,Poland,Potential Customer,,,,mariuz.kot@pl.mercatormedical.eu,48 126 655 400,Internet,y,,19/12/18 Cold called and sent an email.Customer convinced we couldn't compete with far eastern prices but said he'd have a look at my email.,
143,Aviquimica,Portugal,Potential Customer,,,www.aviquimica.pt,r.barros@aviquimica.pr,217121940,Fair,n,,,Cengiz found in Medica 2018. He needs to translate his notes
144,Galen-Fokus,Serbia,Potential Customer,Distributor,,,biljana.lazarevic@galen-fokus.co.rs,00 381 11 2433 500,Referral,n,,,Won tender for micrscope drapes with glass lens
145,SN Medic,Serbia,Potential Customer,Distributor,,http://snmedic.com,info@snmedic.com,381 11 2269046,Internet,n,,,Won tender for C-arm with clips
146,Timed s.r.o.,Slovakia,Potential Customer,Distributor,Trnavská cesta 112 821 01 Bratislava – Slovakia,http://www.timed.sk,svec@timed.sk,421 2 48 20 95 15 (Public Procurement) 421 2 48 20 95 41 (Consumables),Contract Award,y,,2/1/19 sent a cold e-mail with the catalogue.prezi and leaflets attached.,
147,Medical Group SK,Slovakia,Potential Customer,,Trnavská cesta 27/B Trnavská cesta 27/B 831 04 Bratislava 3,http://www.medicalgroupsk.sk,info@medicalgroupsk.sk/jarcuska@medicalgroupsk.sk,421 2 20850 930,Contract Award,y,,2/1/19  cold called and sent an email with the catalogue.prezi and leaflets attached. Also sent email to 2nd email address.,
148,S.A.B. Impex,Slovakia,Potential Customer,Distributor,Betliarska 3809/22 | 851 07 Bratislava,https://www.sab-medical.com/en/katalog?sort=9&itemsPerPage=9,sab-medical@sab-medical.com,420 515 917 511,Contract Award,y,,2/1/2019 called. but they picked the phone up and put it straight down again. will try again tomorrow.,Office in Bratislava and Czech Republic
149,Tatra-Alpine a. s.,Slovakia,Not Interested,Distributor,Trnavská cesta 171/66 821 02 Bratislava Slovakia,http://www.tatraalpine.sk/?lang=en,zdravotnictvo@tatraalpine.sk,421 907848120,Contract Award,y,,Called. not interested,
150,Unotech,Slovakia,Potential Customer,Distributor,Zlatovská 2211 911 01 Trenčín Slovenská republika,http://www.unotech.sk,unotech@unotech.sk,,Contract Award,n,,,
151,Pharma Group a.s.,Slovakia,Potential Customer,Distributor,31320911 SNP 150 Veľké Leváre 90873 Slovakia,http://www.pharmagroup.sk,ttomasovicova@pharmagroup.sk,421 252496741,Contract Award,n,,,
152,VIDRA a spol,Slovakia,Potential Customer,Wholesaler Local,49.11401 18.433693 VIDRA et al. sro Štrková 8 011 96 Žilina Slovakia ,https://www.vidra.sk,vladimir.zuber@vidra.sk,00421 41 507 1027,Internet,y,,Sent e-mail.,
153,Perfect Distribution,Slovakia,Potential Customer,Distributor,Kočovce 244 916 31 Kočovce,https://perfectdistribution.agel.cz/sk/index.html,info.sk@pfd.agelsk.sk,421 323 700 411,Internet,y,,3/1/19: (Nigel) cold called. received email from salesman. ,
154,Codisa,Spain,Potential Customer,Distributor,Valencia,http://www.codisa.com,vicente.izquierdo@codisalevante.com,,Fair,n,,they are very interested. we are sending info about our products. they want prices,
155,Distrauma,Spain,Potential Customer,,,,jpalacios@distrauma.com,,Fair,n,,,Cengiz found in Medica 2018. Dsitribute oral kits
156,Grupo Indas,Spain,Potential Customer,Distributor,,,indas@indas.es,,Referral,n,,,
157,hospital hispania,Spain,Potential Customer,Distributor,,http://hospital-hispania.com/opencms/opencms/utilidades/contacto,comercial@hospital-hispania.com,,Contract Award,y,,contract awards. they aleays win spirometer filters. Sent already two emails,
158,Izasa,Spain,Potential Customer,Distributor,,http://www.izasahospital.com,atencionalcliente@izasahospital.es,,Internet,n,,,
159,Leleman,Spain,Potential Customer,Distributor,,http://leleman.es/es,info@leleman.es pedidos@leleman.es,,Internet,n,,,
160,Sanrosan,Spain,Potential Customer,Distributor,,http://www.sanro.com,marketing@sanro.com,91 3529244 extensión 1003,Contract Award,y,,contract awards. they aleays win spirometer filters. Sent already two emails,
161,Sistemas Técnicos Endoscopicos,Spain,Potential Customer,Distributor,,http://st-endoscopia.es/contacto,,,Internet,y,,contacted by phone. after. sent introduction email,
162,Sumsamex,Spain,Potential Customer,Distributor,,http://www.sumsanex.com/material-solo-uso-esterilizacion,administracion@sumsanex.com,,Internet,y,,contacted by phone. after. sent introduction email,
163,MTW,Spain,Potential Customer,,,https://de.mtw-endoskopie.com,mtwiberica@mtwiberica.com,0034-91-3 50 33 35,Tender,y,19/12/18,Called before Medica to Irina (export/import department) but she was busy with Medica preparation. called her back 19 december and she showed interest in endoscopy products. sent email with leaflets + catalogue,
164,Components Sanitaris Engloba,Spain,Potential Customer,,,,csengloba@csengloba.com,34 938 42 22 00,tender,y,,i called them to offer drapes. he said thye distribute a little of this a little of that. sent an email with catalogue,found a tender with pre-birth ball cover. they won the tender.
165,L&B Medical,Sweden,Potential Customer,Distributor,L & B Medical AB  Fabrikantvägen 5  187 66 Täby,http://www.lbmedical.se,info@lbmedical.se,08 - 732 04 80,Contract Award,n,,,Won tender for gynecology supplies
166,Onemed,Sweden,Potential Customer,Distributor,,,,46 (0) 8 611 50 30,Referral,n,,,Dry Brush Urology
167,Vingmed,Sweden,Potential Customer,Distributor,Box 576 SE-17526 JÄRFÄLLA SE110 Stockholms län,http://www.vingmed.se,upphandling@vingmed.se,08-583 593 00,Contract Award,y,,Cold called and sent an e-mail.....Nigel.,Won tender for gynecology supplies
168,Bactiguard,Sweden,Potential Customer,,,,info@bactiguard.se,4684405880,,y,,Cold called and sent an e-mail.....Nigel.,
169,Swereco,Sweden,Potential Customer,Wholesaler Local,,https://www.swereco.se,info@karopharma.se,46 103 302 310,Internet,y,,23/1/19 Cold called and sent an e-mail.,
170,Gothia Medical,Sweden,Potential Customer,,,https://www.gothiamedical.se/sv,info@gothiamedical.se,46 (0) 31 385 09 00,Internet,y,,Cold called and sent an e-mail,
171,Carumed,Sweden,Potential Customer,Wholesaler Local,,http://www.carumed.se,info@carumed.se,46 (0) 46-73 41 00,Internet,y,,02/01/19 sent a cold email with the product catalogue.prezi and leaflets.,
172,Codan Triplus AB,Sweden,Potential Customer,,,,jm@codantriplus.se,46 300 356 60,Internet,y,,12/12/18 Cold called and sent e-mail with product catalogue.,
173,Mediel AB,Sweden,Potential Customer,,,,office@mediel.se,46 317 068 300,Internet,y,,12/12/18 Cold called and sent e-mail with product catalogue,
174,Mediplast AB,Sweden,Potential Customer,,,,jerker.karlsson@mediplast.com,46 406 712 300,Internet,y,,20.12/18 Cold called and sent an email with prezi and catalogue.,
175,Kebomed,Sweden,Potential Customer,,,,then@kebomed.se,46 705 278 708,Internet,y,,02/01/19 sent a cold email with the catalogue.prezi and leaflets attached.,
176,P3,United Kingdom,Potential Customer,Distributor,,,walkers@p3-medical.com,44(0)1179046275,Fair,n,,Communicated with Cengiz. about our drapes. B2B/OEM: (Responded Nov. 24th) Sent follow up: We already manufacture these types of drapes ourselves so I don’t think it will be of interest but I have forwarded your e-mail onto my colleagues in Production and Purchasing and they will be in touch if they require any further information.,
177,Purple Surgical,United Kingdom,Potential Customer,Manufacturer,,,mail@purplesurgical.com,441923839333 447977461559,Fair,n,,,Wants MVAs said about 75000 procedures are performed per year. Want to do OEM. Said they do not use the Plus version in UK the single use is fine. Also want to sell internationally our Drapes Circled Ring Camera Cover 250000 units per year Micorscope Drape and C-arm Drape (new market). Samples were given
178,Ariba Impex (Morocco),United Kingdom,Potential Customer,Distributor,1-49 Alliance Cl Hounslow TW4 5AT UK,,,,Fair,n,,,Lives in the UK but has a company in Morocco. Said his Nephew runs the company in Morocco. Sent me his contact via Whatsapp. He said that he would register our products there and asked if we already have distributors. I told him that we do but for certain products only. Gave samples of all of them.
179,Surgical Health ,United Kingdom,Potential Customer,Distributor,,,,,Fair,n,,,Sister company of Ariba
180,Latinmed,Uruguay,Potential Customer,,,www.latinmed.com.uy,pskorka@latinmed.com.uy,59829083507,Fair,n,,,Cengiz found in Medica 2018. Arterial cannula 20G. They want prices
181,Dynamics,Venezuela Bolivarian Republic of,Potential Customer,,,,purchase1@dynamics.life,582416139260,Fair,n,,,Cengiz found in Medica 2018. OEM from brushes or others
182,AST Medical,Sweden,Potential Customer,Distributor,556903-3763 Import street 10  HISINGS BACKA  42246 ,https://www.astmedical.se/?lang=en,sten.olsson@astmedical.se ,46 (0)722 267366,Contract Award,y,,24/1/19 Cold called and sent an e-mail.,Imports non-wovens and absorbables from China Thailand Far East. 
183,Dina-Hitex,Czech Republic,Potential Customer,Manufacturer,,,purchase@dina-hitex.com,420 517 380 820,Internet,y,,7/2/19 Cold called and offered to send e-mail with product catalogue.,
184,Pheonix Pharma,Bulgaria,Potential Customer,Wholesaler Local,Sofia 1700 199A Okolovrasten pat str.,https://www.phoenixpharma.bg/en,office@phoenixpharma.bg,359 2 9658 100,Contract Award,,,,won tender for incision drapes
185,Betatex Spa,Italy,Current Customer - Medbar,Manufacturer,Zona Industriale - Viale Europa 06083 Ospedalicchio - Bastia  Umbra Perugia - Italia,http://www.betatex.com/home,,,Referral,,,,
